activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,197445,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '24.08', 'le': '0.50', 'lle': '4.21', 'sei': '34.24'}",CHEMBL27586,,CHEMBL27586,8.04,False,http://www.openphacts.org/units/Nanomolar,37820,=,1,True,=,,IC50,nM,,9.2,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,9.2
,209479,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL285342,,CHEMBL285342,6.28,False,http://www.openphacts.org/units/Nanomolar,37822,=,1,True,=,,IC50,nM,,525.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,525.0
,209480,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '17.85', 'le': '0.37', 'lle': '2.13', 'sei': '25.38'}",CHEMBL285342,,CHEMBL285342,5.96,False,http://www.openphacts.org/units/Nanomolar,37822,=,1,True,=,,IC50,nM,,1105.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1105.0
not isolated,216516,[],CHEMBL678067,Inhibitory concentration required for [3H]dopamine uptake; not being isolated,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@@H]([C@H](O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL285611,,CHEMBL285611,,False,,37819,,1,False,,,IC50,,,,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,,,
not isolated,216517,[],CHEMBL674121,Ability to displace [3H]mazindol to dopamine receptor; not being isolated,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@@H]([C@H](O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL285611,,CHEMBL285611,,False,,37819,,1,False,,,IC50,,,,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,,,
,216519,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL120901,,CHEMBL120901,6.46,False,http://www.openphacts.org/units/Nanomolar,37815,=,1,True,=,,IC50,nM,,350.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,350.0
,216520,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '20.80', 'le': '0.39', 'lle': '4.45', 'sei': '11.30'}",CHEMBL120901,,CHEMBL120901,6.31,False,http://www.openphacts.org/units/Nanomolar,37815,=,1,True,=,,IC50,nM,,490.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,490.0
,217762,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL2115570,,CHEMBL2115570,7.80,False,http://www.openphacts.org/units/Nanomolar,37813,=,1,True,=,,IC50,nM,,16.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,16.0
,217763,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '26.14', 'le': '0.56', 'lle': '3.08', 'sei': '239.03'}",CHEMBL2115570,,CHEMBL2115570,7.75,False,http://www.openphacts.org/units/Nanomolar,37813,=,1,True,=,,IC50,nM,,18.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,18.0
,218961,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL285342,,CHEMBL285342,6.90,False,http://www.openphacts.org/units/Nanomolar,37818,=,1,True,=,,IC50,nM,,125.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,125.0
,218962,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '20.31', 'le': '0.42', 'lle': '2.95', 'sei': '28.89'}",CHEMBL285342,,CHEMBL285342,6.78,False,http://www.openphacts.org/units/Nanomolar,37818,=,1,True,=,,IC50,nM,,166.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,166.0
,350089,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '28.45', 'le': '0.54', 'lle': '5.32', 'sei': '26.71'}",CHEMBL2079586,,CHEMBL2079586,7.89,False,http://www.openphacts.org/units/Nanomolar,106158,=,1,True,=,,IC50,nM,,12.9,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,12.9
,351479,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '21.16', 'le': '0.39', 'lle': '2.09', 'sei': '52.17'}",CHEMBL1201203,BENZTROPINE,CHEMBL1201203,6.51,True,http://www.openphacts.org/units/Nanomolar,106161,=,1,True,=,,IC50,nM,,312.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,312.0
,357301,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '12.58', 'le': '0.24', 'lle': '0.95', 'sei': '13.03'}",CHEMBL607377,,CHEMBL607377,5.05,False,http://www.openphacts.org/units/Nanomolar,106157,=,1,True,=,,IC50,nM,,8900.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,8900.0
,365721,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '11.61', 'le': '0.22', 'lle': '0.56', 'sei': '12.02'}",CHEMBL607430,,CHEMBL607430,4.66,False,http://www.openphacts.org/units/Nanomolar,106155,=,1,True,=,,IC50,nM,,21900.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,21900.0
,368534,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '14.34', 'le': '0.27', 'lle': '1.66', 'sei': '14.85'}",CHEMBL607377,,CHEMBL607377,5.76,False,http://www.openphacts.org/units/Nanomolar,106154,=,1,True,=,,IC50,nM,,1750.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1750.0
,370051,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '19.83', 'le': '0.37', 'lle': '3.86', 'sei': '20.54'}",CHEMBL310650,,CHEMBL310650,7.96,True,http://www.openphacts.org/units/Nanomolar,106163,=,1,True,=,,IC50,nM,,10.9,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,10.9
,370054,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '13.49', 'le': '0.26', 'lle': '1.32', 'sei': '13.97'}",CHEMBL607377,,CHEMBL607377,5.42,False,http://www.openphacts.org/units/Nanomolar,106160,=,1,True,=,,IC50,nM,,3840.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,3840.0
,377010,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@H]1[C@H](OC(c2ccc(F)cc2)c2ccc(F)cc2)CC2CC[C@H]1N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '13.63', 'le': '0.26', 'lle': '1.37', 'sei': '14.11'}",CHEMBL607431,,CHEMBL607431,5.47,False,http://www.openphacts.org/units/Nanomolar,106156,=,1,True,=,,IC50,nM,,3380.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,3380.0
,382675,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '14.17', 'le': '0.27', 'lle': '1.59', 'sei': '14.68'}",CHEMBL607377,,CHEMBL607377,5.69,True,http://www.openphacts.org/units/Nanomolar,106159,=,1,True,=,,IC50,nM,,2040.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,2040.0
,387130,[],CHEMBL673255,Displacement of [3H]WIN-35428 from monkey dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '12.29', 'le': '0.23', 'lle': '0.83', 'sei': '12.72'}",CHEMBL607430,,CHEMBL607430,4.93,False,http://www.openphacts.org/units/Nanomolar,106162,=,1,True,=,,IC50,nM,,11700.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,11700.0
